"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Rogers, Tyler",643511,"SF","SI","Sinker",1.7,11,"640",63.9,"187","0.244","0.333","0.291",15.6,13.9,16.3,"0.25","0.335","0.267",35.9
"Suarez, Robert",663158,"SD","FF","4-Seam Fastball",1.6,11,"692",70.8,"187","0.217","0.337","0.277",25.5,26.7,22.7,"0.206","0.34","0.262",42.1
"Thompson, Ryan",657044,"AZ","SI","Sinker",1,6,"627",64.2,"187","0.267","0.401","0.314",17.4,9.6,16.4,"0.283","0.429","0.336",49
"Flexen, Chris",623167,"CWS","FC","Cutter",-1.1,-8,"732",26.2,"187","0.323","0.539","0.405",21.6,11.8,13.8,"0.297","0.488","0.372",36.7
"Bradley, Taj",671737,"TB","FS","Split-Finger",0.7,4,"616",26.9,"186","0.213","0.32","0.27",33,37.1,25.6,"0.193","0.278","0.243",37.9
"Hjelle, Sean",663546,"SF","SI","Sinker",0.8,5,"671",55.5,"186","0.318","0.438","0.351",11.2,14.5,20,"0.281","0.421","0.321",39.7
"Abreu, Bryan",650556,"HOU","SL","Slider",1.3,9,"690",53.1,"185","0.166","0.227","0.244",39.4,37.3,29,"0.168","0.241","0.242",29.5
"Cecconi, Slade",677944,"AZ","FF","4-Seam Fastball",-1.1,-8,"708",54.9,"185","0.329","0.582","0.408",16.4,19.5,16.5,"0.27","0.486","0.352",41.2
"Lugo, Seth",607625,"KC","SI","Sinker",0.7,4,"576",18.5,"184","0.274","0.381","0.334",12.9,13,18.6,"0.287","0.426","0.337",39.7
"Mize, Casey",663554,"DET","FF","4-Seam Fastball",-0.4,-3,"684",38.2,"183","0.3","0.424","0.365",20.7,19.7,14.7,"0.276","0.448","0.336",46.7
"Johnson, Pierce",572955,"ATL","CU","Curveball",0.2,1,"656",71.6,"183","0.243","0.396","0.321",28.1,28.4,26.5,"0.227","0.393","0.299",41
"Crochet, Garrett",676979,"CWS","FC","Cutter",0,0,"683",28.5,"183","0.268","0.458","0.345",33.4,32.8,29.4,"0.235","0.411","0.285",42.9
"López, Reynaldo",625643,"ATL","SL","Slider",1.6,10,"620",29.4,"182","0.167","0.256","0.22",44.5,40.7,27.7,"0.201","0.307","0.254",39.6
"Eflin, Zach",621107,"BAL","FC","Cutter",1.6,11,"691",28.2,"182","0.214","0.345","0.276",22.3,20.9,25.5,"0.24","0.423","0.313",41.2
"Canning, Griffin",656288,"LAA","SL","Slider",-0.9,-6,"690",24.1,"182","0.284","0.444","0.354",33.1,26.9,20.9,"0.249","0.397","0.315",44.3
"Cole, Gerrit",543037,"NYY","FF","4-Seam Fastball",0.7,5,"697",45.4,"181","0.184","0.361","0.294",23.5,30.4,22.7,"0.187","0.36","0.291",36.9
"Kinley, Tyler",641755,"COL","SL","Slider",-0.1,-1,"745",62.9,"181","0.2","0.438","0.318",41.3,35.9,23.7,"0.19","0.333","0.27",26.3
